address;area;date;demanded_price;final_price;monthly_fee;operating_cost;price_per_squaremeter;room_number;title;url;year_of_construction
StrÌ´lgatan 21;39;07/08/20;2495000;2650000;2735;4860;67949;2 rum;StrÌ´lgatan 21 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-21-1228644;1939
Primusgatan 62, vÌ´n 5;69;07/08/20;4995000;5200000;4507;;75362;3 rum;Primusgatan 62, vÌ´n 5 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Kungsholmen Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-lilla-essingen-stockholms-kommun-primusgatan-62,-van-5-1228384;2007
Luxgatan 6, 4tr;28;07/08/20;2495000;2725000;1370;2400;97321;1 rum;Luxgatan 6, 4tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Kungsholmen / Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-lilla-essingen-stockholms-kommun-luxgatan-6,-4tr-1228693;1930
StrÌ´lgatan 35, 4 tr;25;06/08/20;2150000;2380000;1528;3000;95200;1 rum;StrÌ´lgatan 35, 4 tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Kungsholmen - Lilla Essingen, STOCKHOLM - Hemnet;https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-lilla-essingen-stockholms-kommun-stralgatan-35,-4-tr-1227950;1939
Luxgatan 7, vÌ´n 3/3;45;28/07/20;3395000;4105000;2622;3480;91222;2 rum;Luxgatan 7, vÌ´n 3/3 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-7,-van-3-3-1224581;1937
StrÌ´lgatan 19, 4 tr;22;23/07/20;1995000;2810000;1383;2500;127727;1 rum;StrÌ´lgatan 19, 4 tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Kungsholmen Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-lilla-essingen-stockholms-kommun-stralgatan-19,-4-tr-1223060;1938
Essinge Brogata 19;42;21/07/20;2895000;3275000;2356;8000;77976;2 rum;Essinge Brogata 19 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-19-1222237;1938
Primusgatan 81;76.5;17/07/20;6300000;6300000;4037;4860;82353;3 rum;Primusgatan 81 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-81-1220939;2004
Luxgatan 25, 5tr;62;15/07/20;4395000;4600000;3727;6700;74194;2 rum;Luxgatan 25, 5tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-luxgatan-25,-5tr-1219841;2006
StrÌ´lgatan 23, 2tr;40;14/07/20;2795000;3000000;2797;5500;75000;2 rum;StrÌ´lgatan 23, 2tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-stralgatan-23,-2tr-1219471;1939
Primusgatan 96, 7tr;91.5;14/07/20;8800000;8950000;4552;8100;97814;3 rum;Primusgatan 96, 7tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-96,-7tr-1219415;2003
Primusgatan 86, vÌ´n 5;63;13/07/20;4795000;5080000;3479;3620;80635;2 rum;Primusgatan 86, vÌ´n 5 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-86,-van-5-1219001;2003
StrÌ´lgatan 23;40;11/07/20;3150000;3150000;2798;7720;78750;2 rum;StrÌ´lgatan 23 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-23-1218588;1939
Essinge Brogata 22;31;09/07/20;2495000;2700000;2288;4100;87097;1,5 rum;Essinge Brogata 22 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-1,5rum-lilla-essingen-stockholms-kommun-essinge-brogata-22-1217516;1938
Luxgatan 7, 1tr;36;08/07/20;2890000;3300000;2091;5500;91667;1,5 rum;Luxgatan 7, 1tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Kungsholmen / Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-1,5rum-kungsholmen-lilla-essingen-stockholms-kommun-luxgatan-7,-1tr-1217196;1937
StrÌ´lgatan 12, 5tr;43;08/07/20;3195000;3350000;2127;;77907;2 rum;StrÌ´lgatan 12, 5tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-stralgatan-12,-5tr-1216941;1938
StrÌ´lgatan 23, EP;32;07/07/20;2295000;2600000;2251;4500;81250;2 rum;StrÌ´lgatan 23, EP - SÌ´ld bostadsrÌ_ttslÌ_genhet - Kungsholmen - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-lilla-essingen-stockholms-kommun-stralgatan-23,-ep-1216533;1939
Primusgatan 86, vÌ´n 3;50;03/07/20;3495000;3870000;2955;3620;77400;2 rum;Primusgatan 86, vÌ´n 3 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-86,-van-3-1214833;2003
Primusgatan 78, 1tr;46;02/07/20;3295000;3550000;3076;;77174;2 rum;Primusgatan 78, 1tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-primusgatan-78,-1tr-1213818;
Primusgatan 87;51;01/07/20;3295000;3670000;3309;4860;71961;2 rum;Primusgatan 87 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-87-1213050;2007
StrÌ´lgatan 21;49;30/06/20;3490000;3800000;3357;;77551;2 rum;StrÌ´lgatan 21 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen - Kungsholmen, STOCKHOLM - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-21-1212282;
Primusgatan 60, 4tr;78;30/06/20;6495000;6510000;4979;7500;83462;4 rum;Primusgatan 60, 4tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-4rum-lilla-essingen-stockholms-kommun-primusgatan-60,-4tr-1212570;2005
StrÌ´lgatan 19;40;26/06/20;2695000;3100000;2464;3000;77500;2 rum;StrÌ´lgatan 19 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Kungsholmen - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-lilla-essingen-stockholms-kommun-stralgatan-19-1211244;1938
Primusgatan 70, 2tr;72.5;19/06/20;5995000;5950000;4279;;82069;3 rum;Primusgatan 70, 2tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-70,-2tr-1209069;2004
Luxgatan 9;40;18/06/20;3195000;3800000;1891;;95000;2 rum;Luxgatan 9 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-9-1207409;1935
StrÌ´lgatan 12, 2tr;64;18/06/20;3995000;3995000;3080;4500;62422;3 rum;StrÌ´lgatan 12, 2tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-12,-2tr-1207361;
Essinge Brogata 8;34;17/06/20;2395000;2840000;1611;;83529;1 rum;Essinge Brogata 8 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-8-1206354;1931
Luxgatan 23, 5tr;76.5;16/06/20;5895000;5675000;4046;7800;74183;3 rum;Luxgatan 23, 5tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-luxgatan-23,-5tr-1204989;2006
Primusgatan 98, vÌ´n 4;70.5;13/06/20;5695000;6400000;3744;5900;90780;2 rum;Primusgatan 98, vÌ´n 4 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-98,-van-4-1203694;2003
