address,area,date,demanded_price,final_price,monthly_fee,operating_cost,price_per_squaremeter,room_number,title,url,year_of_construction
Strålgatan 29. 4tr,52,2020-08-27,2995000,3650000,2475,3900,70192,2 rum,"Strålgatan 29. 4tr - Såld bostadsrättslägenhet - Lilla Essingen / Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-29,-4tr-1239010",1939
Strålgatan 45,66,2020-08-26,4995000,5350000,3049,0,81061,3 rum,"Strålgatan 45 - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-stralgatan-45-1239346,0
"Essinge Brogata 18, 1tr",37,2020-08-26,2495000,2925000,2099,4500,79054,2 rum,"Essinge Brogata 18, 1tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-essinge-brogata-18,-1tr-1239089",0
Essinge Brogata 39,33,2020-08-25,2495000,2900000,2548,3480,87879,"1,5 rum","Essinge Brogata 39 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-1,5rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-39-1237831",1938
"Luxgatan 7, 1,5 tr",22,2020-08-25,2195000,2460000,1282,3480,111818,1 rum,"Luxgatan 7, 1,5 tr - Såld bostadsrättslägenhet - STOCKHOLM - Hemnet","https://www.hemnet.se/salda/lagenhet-1rum-stockholms-kommun-luxgatan-7,-1,5-tr-1237454",1937
"Patentgatan 1, 5tr",117,2020-08-21,9495000,10550000,5617,7800,90171,4 rum,"Patentgatan 1, 5tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-4rum-lilla-essingen-stockholms-kommun-patentgatan-1,-5tr-1236388",2006
"Primusgatan 100, 6tr",90,2020-08-20,9495000,9900000,5345,7200,110000,3 rum,"Primusgatan 100, 6tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-100,-6tr-1234793",1935
Primusgatan 78,0,2020-08-19,5795000,6520000,4635,5900,82013,3 rum,"Primusgatan 78 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-78-1234311,2004
Primusgatan 54,60,2020-08-19,4250000,4820000,3594,5200,80333,3 rum,"Primusgatan 54 - Såld bostadsrättslägenhet - Kungsholmen / Lilla Essingen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-lilla-essingen-stockholms-kommun-primusgatan-54-1234105,2004
"Essinge Brogata 12, 2tr",0,2020-08-19,2890000,3300000,2398,4000,88000,2 rum,"Essinge Brogata 12, 2tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-essinge-brogata-12,-2tr-1234620",1934
"Strålgatan 35, vån 4 / 4",33,2020-08-18,2795000,3050000,1982,4000,92424,2 rum,"Strålgatan 35, vån 4 / 4 - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-35,-van-4-4-1233703",1938
"Strålgatan 8, 1tr",54,2020-08-18,3495000,3700000,3763,4500,68519,2 rum,"Strålgatan 8, 1tr - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, STOCKHOLM - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-8,-1tr-1233625",1938
Essinge Brogata 39,34,2020-08-16,2395000,2700000,2599,5000,79412,"1,5 rum","Essinge Brogata 39 - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-1,5rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-39-1232572",1938
"Essinge Brogata 19, 5tr",32,2020-08-14,2450000,2700000,1831,0,84375,"1,5 rum","Essinge Brogata 19, 5tr - Såld bostadsrättslägenhet - Kungsholmen, STOCKHOLM - Hemnet","https://www.hemnet.se/salda/lagenhet-1,5rum-kungsholmen-stockholms-kommun-essinge-brogata-19,-5tr-1231721",0
Luxgatan 37,45,2020-08-13,2995000,3325000,2883,0,73889,2 rum,Luxgatan 37 - Såld bostadsrättslägenhet - Stockholm - Hemnet,https://www.hemnet.se/salda/lagenhet-2rum-stockholms-kommun-luxgatan-37-1231535,0
"Strålgatan 35, 1 tr",48,2020-08-12,3250000,3700000,2755,5360,77083,2 rum,"Strålgatan 35, 1 tr - Såld bostadsrättslägenhet - Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-stockholms-kommun-stralgatan-35,-1-tr-1230561",1939
"Strålgatan 21, 3tr",24,2020-08-11,1995000,2550000,1803,0,106250,1 rum,"Strålgatan 21, 3tr - Såld bostadsrättslägenhet - Kungsholmen - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-lilla-essingen-stockholms-kommun-stralgatan-21,-3tr-1229765",0
"Strålgatan 12, 2tr",37,2020-08-11,2750000,3150000,1753,6000,85135,2 rum,"Strålgatan 12, 2tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-stralgatan-12,-2tr-1230103",1938
Strålgatan 21,39,2020-08-07,2495000,2650000,2735,4860,67949,2 rum,"Strålgatan 21 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-21-1228644,1939
"Primusgatan 62, vån 5",69,2020-08-07,4995000,5200000,4507,0,75362,3 rum,"Primusgatan 62, vån 5 - Såld bostadsrättslägenhet - Kungsholmen Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-lilla-essingen-stockholms-kommun-primusgatan-62,-van-5-1228384",0
"Luxgatan 6, 4tr",28,2020-08-07,2495000,2725000,1370,2400,97321,1 rum,"Luxgatan 6, 4tr - Såld bostadsrättslägenhet - Kungsholmen / Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-lilla-essingen-stockholms-kommun-luxgatan-6,-4tr-1228693",1930
"Strålgatan 35, 4 tr",25,2020-08-06,2150000,2380000,1528,3000,95200,1 rum,"Strålgatan 35, 4 tr - Såld bostadsrättslägenhet - Kungsholmen - Lilla Essingen, STOCKHOLM - Hemnet","https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-lilla-essingen-stockholms-kommun-stralgatan-35,-4-tr-1227950",1939
